"gene","lfc","padj","tissue","comparison"
"Cpsf4",1.8910553696492,0.0488735414729089,"DG","home.cage-standard.yoked"
"Cpsf7",1.44567386904995,0.0526895366694053,"DG","home.cage-standard.yoked"
"Creb3",-3.86737681419902,0.00191749294719897,"DG","home.cage-standard.yoked"
"Crebbp",1.72055681857805,0.0152251410814413,"DG","home.cage-standard.yoked"
"Crebrf",1.93391409367692,0.0180728294005614,"DG","home.cage-standard.yoked"
"Crip2",2.37211941078006,0.0269907296023352,"DG","home.cage-standard.yoked"
"Crlf2",3.6700308074709,0.000403914096217082,"DG","home.cage-standard.yoked"
"Crybg3",6.04668753527769,2.03355095128493e-06,"DG","home.cage-standard.yoked"
"Cryz",4.03486393141028,0.0244466407545872,"DG","home.cage-standard.yoked"
"Csnk1a1",1.03618319984566,0.0303726570433627,"DG","home.cage-standard.yoked"
"Csnk1e",1.41339164930536,0.0599513060021954,"DG","home.cage-standard.yoked"
"Cstf1",-2.19392684665615,0.0433208868003525,"DG","home.cage-standard.yoked"
"Cstf2",1.61436111752925,0.0206552815207848,"DG","home.cage-standard.yoked"
"Ctc1",1.71813799904565,0.0317350207414468,"DG","home.cage-standard.yoked"
"Ctdsp1",-4.5817092626809,0.0296800274818248,"DG","home.cage-standard.yoked"
"Ctsa",1.18024173820461,0.09799766397475,"DG","home.cage-standard.yoked"
"Cul1",1.5358587152286,0.0438509516403945,"DG","home.cage-standard.yoked"
"Cwc25",2.78897803699699,0.00156076328979684,"DG","home.cage-standard.yoked"
"Cwf19l1",4.09772732561831,0.000429400543080982,"DG","home.cage-standard.yoked"
"Cyb5d1",4.18628291506593,0.000143084623495108,"DG","home.cage-standard.yoked"
"Cyld",2.06628110978812,0.0115747506324854,"DG","home.cage-standard.yoked"
